Date,Region,Product,UnitsSold,Revenue,Discount,Profit,Customer Name,Customer ID,Unnamed: 9,Postal Code,Product ID,Order ID,Row ID,Ship Mode,Ship Date,Segment,Category,Sub-Category,Country,State,City
01-01-2021,North,Electronics,152,252168,20,34468.08,Customer 1,CUST-1000,,656931,PROD-2000,ORD-3000,1,Standard Class,19-01-2024,Consumer,Furniture,Storage,India,Maharashtra,Mumbai
01-01-2021,North,Clothing,121,232804,20,30544.75,Customer 2,CUST-1001,,134477,PROD-2001,ORD-3001,2,Standard Class,21-01-2024,Consumer,Office Supplies,Binders,India,Karnataka,Bengaluru
01-01-2021,North,Furniture,264,139920,10,38231.07,Customer 3,CUST-1002,,693311,PROD-2002,ORD-3002,3,Standard Class,05-01-2024,Home Office,Office Supplies,Accessories,India,Tamil Nadu,Chennai
01-01-2021,North,Groceries,149,159579,10,16614.87,Customer 4,CUST-1003,,330541,PROD-2003,ORD-3003,4,Same Day,07-01-2024,Home Office,Technology,Chairs,India,Kerala,Kochi
01-01-2021,South,Electronics,307,166701,15,47961.64,Customer 5,CUST-1004,,363165,PROD-2004,ORD-3004,5,Second Class,15-01-2024,Consumer,Office Supplies,Storage,India,Gujarat,Ahmedabad
01-01-2021,South,Clothing,435,615525,15,84130.51,Customer 6,CUST-1005,,188044,PROD-2005,ORD-3005,6,Second Class,24-01-2024,Consumer,Furniture,Tables,India,Rajasthan,Jaipur
01-01-2021,South,Furniture,363,80223,20,14952.69,Customer 7,CUST-1006,,282030,PROD-2006,ORD-3006,7,First Class,24-01-2024,Home Office,Technology,Storage,India,Punjab,Ludhiana
01-01-2021,South,Groceries,98,66052,10,11887.52,Customer 8,CUST-1007,,153454,PROD-2007,ORD-3007,8,Same Day,05-01-2024,Home Office,Furniture,Binders,India,Haryana,Gurugram
01-01-2021,East,Electronics,237,278475,10,49148.72,Customer 9,CUST-1008,,679017,PROD-2008,ORD-3008,9,Second Class,04-01-2024,Home Office,Office Supplies,Storage,India,Uttar Pradesh,Lucknow
01-01-2021,East,Clothing,293,302083,0,33014.68,Customer 10,CUST-1009,,267366,PROD-2009,ORD-3009,10,Same Day,04-01-2024,Consumer,Technology,Phones,India,Madhya Pradesh,Bhopal
01-01-2021,East,Furniture,356,301176,20,57253.51,Customer 11,CUST-1010,,476075,PROD-2010,ORD-3010,11,Standard Class,19-01-2024,Consumer,Technology,Accessories,India,Bihar,Patna
01-01-2021,East,Groceries,323,189601,0,55577.06,Customer 12,CUST-1011,,478321,PROD-2011,ORD-3011,12,Second Class,04-01-2024,Home Office,Office Supplies,Accessories,India,West Bengal,Kolkata
01-01-2021,West,Electronics,291,284016,5,33949.69,Customer 13,CUST-1012,,897943,PROD-2012,ORD-3012,13,Second Class,03-01-2024,Home Office,Furniture,Binders,India,Odisha,Bhubaneswar
01-01-2021,West,Clothing,389,113199,15,14082.82,Customer 14,CUST-1013,,892308,PROD-2013,ORD-3013,14,Second Class,13-01-2024,Consumer,Furniture,Storage,India,Telangana,Hyderabad
01-01-2021,West,Furniture,313,73242,0,11114.91,Customer 15,CUST-1014,,754719,PROD-2014,ORD-3014,15,Standard Class,27-01-2024,Consumer,Technology,Chairs,India,Andhra Pradesh,Visakhapatnam
01-01-2021,West,Groceries,409,658899,5,121916.86,Customer 16,CUST-1015,,775415,PROD-2015,ORD-3015,16,Same Day,03-01-2024,Corporate,Furniture,Phones,India,Chhattisgarh,Raipur
01-02-2021,North,Electronics,103,136887,15,18749.53,Customer 17,CUST-1016,,177746,PROD-2016,ORD-3016,17,Same Day,20-01-2024,Corporate,Office Supplies,Accessories,India,Jharkhand,Ranchi
01-02-2021,North,Clothing,240,144240,5,27398.51,Customer 18,CUST-1017,,129711,PROD-2017,ORD-3017,18,Same Day,10-01-2024,Corporate,Office Supplies,Storage,India,Assam,Guwahati
01-02-2021,North,Furniture,251,299945,15,32707.64,Customer 19,CUST-1018,,257561,PROD-2018,ORD-3018,19,Same Day,25-01-2024,Consumer,Office Supplies,Storage,India,Himachal Pradesh,Shimla
01-02-2021,North,Groceries,345,672060,20,103678.57,Customer 20,CUST-1019,,490802,PROD-2019,ORD-3019,20,Same Day,16-01-2024,Consumer,Technology,Phones,India,Uttarakhand,Dehradun
01-02-2021,South,Electronics,102,101082,5,29622.19,Customer 21,CUST-1020,,853572,PROD-2020,ORD-3020,21,Same Day,19-01-2024,Consumer,Office Supplies,Accessories,India,Goa,Panaji
01-02-2021,South,Clothing,237,137223,20,17589.91,Customer 22,CUST-1021,,778993,PROD-2021,ORD-3021,22,Same Day,06-01-2024,Corporate,Technology,Phones,India,Sikkim,Gangtok
01-02-2021,South,Furniture,64,16896,0,5024.49,Customer 23,CUST-1022,,780662,PROD-2022,ORD-3022,23,Same Day,19-01-2024,Corporate,Technology,Tables,India,Maharashtra,Pune
01-02-2021,South,Groceries,393,531336,15,84321.77,Customer 24,CUST-1023,,986636,PROD-2023,ORD-3023,24,Same Day,04-01-2024,Corporate,Furniture,Phones,India,Karnataka,Mysuru
01-02-2021,East,Electronics,112,152544,10,36819.77,Customer 25,CUST-1024,,598753,PROD-2024,ORD-3024,25,Standard Class,11-01-2024,Home Office,Office Supplies,Tables,India,Tamil Nadu,Coimbatore
01-02-2021,East,Clothing,212,131016,0,28979.69,Customer 26,CUST-1025,,491856,PROD-2025,ORD-3025,26,Standard Class,21-01-2024,Corporate,Furniture,Phones,India,Kerala,Thiruvananthapuram
01-02-2021,East,Furniture,280,340760,0,96432.33,Customer 27,CUST-1026,,337852,PROD-2026,ORD-3026,27,Second Class,16-01-2024,Home Office,Office Supplies,Chairs,India,Gujarat,Surat
01-02-2021,East,Groceries,250,244750,5,29145.33,Customer 28,CUST-1027,,706278,PROD-2027,ORD-3027,28,First Class,15-01-2024,Home Office,Office Supplies,Storage,India,Rajasthan,Udaipur
01-02-2021,West,Electronics,456,819432,20,201515.73,Customer 29,CUST-1028,,672914,PROD-2028,ORD-3028,29,Second Class,08-01-2024,Consumer,Office Supplies,Chairs,India,Punjab,Amritsar
01-02-2021,West,Clothing,409,378325,10,80298.98,Customer 30,CUST-1029,,822808,PROD-2029,ORD-3029,30,Standard Class,13-01-2024,Consumer,Furniture,Phones,India,Haryana,Faridabad
01-02-2021,West,Furniture,276,224112,10,56511.41,Customer 31,CUST-1030,,341783,PROD-2030,ORD-3030,31,First Class,05-01-2024,Consumer,Furniture,Storage,India,Uttar Pradesh,Kanpur
01-02-2021,West,Groceries,267,187434,10,38338.98,Customer 32,CUST-1031,,458296,PROD-2031,ORD-3031,32,Same Day,05-01-2024,Home Office,Furniture,Phones,India,Madhya Pradesh,Indore
01-03-2021,North,Electronics,64,113728,15,13826.86,Customer 33,CUST-1032,,162373,PROD-2032,ORD-3032,33,Second Class,22-01-2024,Corporate,Office Supplies,Storage,India,Bihar,Gaya
01-03-2021,North,Clothing,112,119056,0,19390.79,Customer 34,CUST-1033,,854477,PROD-2033,ORD-3033,34,Second Class,09-01-2024,Consumer,Office Supplies,Phones,India,West Bengal,Howrah
01-03-2021,North,Furniture,145,283765,20,42524.58,Customer 35,CUST-1034,,282913,PROD-2034,ORD-3034,35,Standard Class,27-01-2024,Corporate,Office Supplies,Tables,India,Odisha,Cuttack
01-03-2021,North,Groceries,286,537108,10,75523.96,Customer 36,CUST-1035,,690305,PROD-2035,ORD-3035,36,Standard Class,02-01-2024,Home Office,Office Supplies,Phones,India,Telangana,Warangal
